14.10.22 21:15
Статистика проєкту

                      	Сегментів	  Слів	Символів без пробілів	Символів із пробілами	Кількість файлів	
Загалом:              	    71937	520590	              2784969	              3235680	             891	
Залишилося:           	    71914	520347	              2783506	              3233996	             889	
Унікальних:           	    63928	491225	              2627282	              3056532	             878	
Залишилося унікальних:	    63905	490982	              2625819	              3054848	             876	


Статистика за окремими файлами:

Назва файлу                                                                                	Загалом сегментів	Залишилося сегментів	Унікальних сегментів	Залишилося унікальних сегментів	Загалом слів	Залишилося слів	Слів в унікальних сегментах	Залишилося слів в унікальних сегментах	Загалом символів без пробілів	Залишилося символів без пробілів	Символів без пробілів в унікальних сегментах	Залишилося символів без пробілів в унікальних сегментах	Загалом символів із пробілами	Залишилося символів із пробілами	Символів із пробілами в унікальних сегментах	Залишилося символів із пробілами в унікальних сегментах	
Scripts/Content/Story/Cutscenes/KQ407_Grayson.d.json                                       	               37	                  37	                  37	                             37	         365	            365	                        365	                                   365	                         2105	                            2105	                                        2105	                                                   2105	                         2436	                            2436	                                        2436	                                                   2436	
Scripts/Content/Story/Cutscenes/Q108_Meeting.d.json                                        	               14	                  14	                  14	                             14	         101	            101	                        101	                                   101	                          513	                             513	                                         513	                                                    513	                          601	                             601	                                         601	                                                    601	
Scripts/Content/Story/Cutscenes/Q205_TillCrossbowAttack.d.json                             	                2	                   2	                   2	                              2	          14	             14	                         14	                                    14	                           57	                              57	                                          57	                                                     57	                           69	                              69	                                          69	                                                     69	
Scripts/Content/Story/Cutscenes/Q206_CaramonHelp.d.json                                    	                5	                   5	                   5	                              5	          35	             35	                         35	                                    35	                          182	                             182	                                         182	                                                    182	                          212	                             212	                                         212	                                                    212	
Scripts/Content/Story/Cutscenes/Q206_MeetPablo.d.json                                      	                3	                   3	                   3	                              3	          35	             35	                         35	                                    35	                          183	                             183	                                         183	                                                    183	                          215	                             215	                                         215	                                                    215	
Scripts/Content/Story/Cutscenes/Q304_FinalCutscene.d.json                                  	               14	                  14	                  14	                             14	         103	            103	                        103	                                   103	                          488	                             488	                                         488	                                                    488	                          577	                             577	                                         577	                                                    577	
Scripts/Content/Story/Cutscenes/Q304_Hide.d.json                                           	               20	                  20	                  20	                             20	         147	            147	                        147	                                   147	                          731	                             731	                                         731	                                                    731	                          858	                             858	                                         858	                                                    858	
Scripts/Content/Story/Cutscenes/Q305_BeckettIsBack.d.json                                  	               12	                  12	                  11	                             11	          50	             50	                         48	                                    48	                          237	                             237	                                         229	                                                    229	                          275	                             275	                                         266	                                                    266	
Scripts/Content/Story/Cutscenes/Q306_EndFinalRound.d.json                                  	                8	                   8	                   8	                              8	          72	             72	                         72	                                    72	                          436	                             436	                                         436	                                                    436	                          500	                             500	                                         500	                                                    500	
Scripts/Content/Story/Cutscenes/Q306_EndFirstRound.d.json                                  	                2	                   2	                   2	                              2	          13	             13	                         13	                                    13	                           93	                              93	                                          93	                                                     93	                          105	                             105	                                         105	                                                    105	
